Timestamp for sample frequency every 15 min,Temperature_Fahrenheit,Relative_Humidity
2018-11-18 19:58:00,71.5513,19.4517
2018-11-18 20:13:00,71.3196,19.5737
2018-11-18 20:28:00,71.3969,19.6348
2018-11-18 20:43:00,71.3003,19.7263
2018-11-18 20:58:00,71.2231,19.2380
2018-11-18 21:13:00,71.3390,19.3296
2018-11-18 21:28:00,71.3969,19.5432
2018-11-18 21:43:00,71.6285,19.5737
2018-11-18 21:58:00,71.4548,19.6958
2018-11-18 22:13:00,71.5320,19.8484
2018-11-18 22:28:00,71.4548,19.9705
2018-11-18 22:43:00,71.5127,19.8179
2018-11-18 22:58:00,71.4934,19.7263
2018-11-18 23:13:00,71.3583,19.5432
2018-11-18 23:28:00,71.3390,19.5432
2018-11-18 23:43:00,71.1073,19.4211
2018-11-18 23:58:00,71.3390,19.5432
2018-11-19 00:13:00,71.3583,19.8789
2018-11-19 00:28:00,71.3583,20.1841
2018-11-19 00:43:00,71.2231,20.4893
2018-11-19 00:58:00,71.3583,20.2451
2018-11-19 01:13:00,71.3583,20.1536
2018-11-19 01:28:00,71.3003,20.2756
2018-11-19 01:43:00,71.4162,20.7029
2018-11-19 01:58:00,71.6285,20.3977
2018-11-19 02:13:00,71.6671,20.3367
2018-11-19 02:28:00,71.6671,20.3062
2018-11-19 02:43:00,71.7251,20.4893
2018-11-19 02:58:00,71.7444,20.9165
2018-11-19 03:13:00,71.5127,21.4658
2018-11-19 03:28:00,71.6478,21.9236
2018-11-19 03:43:00,71.7830,22.2288
2018-11-19 03:58:00,71.4548,22.5645
2018-11-19 04:13:00,71.3196,23.1138
2018-11-19 04:28:00,71.2231,23.3884
2018-11-19 04:43:00,71.3196,23.8157
2018-11-19 04:58:00,71.3583,24.0598
2018-11-19 05:13:00,71.3776,24.1514
2018-11-19 05:28:00,71.5320,24.2734
2018-11-19 05:43:00,71.3583,24.6091
2018-11-19 05:58:00,71.6478,24.7922
2018-11-19 06:13:00,71.4741,25.0059
2018-11-19 06:28:00,71.3776,25.2500
2018-11-19 06:43:00,71.3583,25.6467
2018-11-19 06:58:00,71.4548,25.7688
2018-11-19 07:13:00,71.3583,25.8909
2018-11-19 07:28:00,71.3390,26.1655
2018-11-19 07:43:00,71.5899,25.9214
2018-11-19 07:58:00,71.6478,25.8298
2018-11-19 08:13:00,71.5899,26.0129
2018-11-19 08:28:00,71.7637,25.9824
2018-11-19 08:43:00,71.9181,25.8298
2018-11-19 08:58:00,71.7058,26.1655
2018-11-19 09:13:00,71.5127,26.3792
2018-11-19 09:28:00,71.7058,26.2876
2018-11-19 09:43:00,71.7058,26.4097
2018-11-19 09:58:00,71.7637,26.1960
2018-11-19 10:13:00,71.6478,26.2571
2018-11-19 10:28:00,71.8216,26.1350
2018-11-19 10:43:00,71.7830,26.1960
2018-11-19 10:58:00,71.8216,26.3181
2018-11-19 11:13:00,71.8023,26.5317
2018-11-19 11:28:00,71.6285,26.6538
2018-11-19 11:43:00,71.3583,27.1421
2018-11-19 11:58:00,71.5320,27.1116
2018-11-19 12:13:00,71.7058,26.8369
2018-11-19 12:28:00,71.7251,26.9895
2018-11-19 12:43:00,71.7444,27.0505
2018-11-19 12:58:00,71.5513,27.1421
2018-11-19 13:13:00,71.2231,27.3252
2018-11-19 13:28:00,71.5320,27.2031
2018-11-19 13:43:00,71.6864,27.3557
2018-11-19 13:58:00,71.4741,27.6609
2018-11-19 14:13:00,71.5127,27.5693
2018-11-19 14:28:00,71.4162,27.6914
2018-11-19 14:43:00,71.6478,27.7219
2018-11-19 14:58:00,71.6671,27.5388
2018-11-19 15:13:00,71.9181,27.3252
2018-11-19 15:28:00,71.7444,27.3557
2018-11-19 15:43:00,71.5899,27.4473
2018-11-19 15:58:00,71.6285,27.2642
2018-11-19 16:13:00,71.8216,27.1116
2018-11-19 16:28:00,71.7444,27.2031
2018-11-19 16:43:00,71.7058,27.2642
2018-11-19 16:58:00,71.7830,27.2336
2018-11-19 17:13:00,71.7251,27.3557
2018-11-19 17:28:00,71.4548,27.8135
2018-11-19 17:43:00,71.1652,28.1492
2018-11-19 17:58:00,71.3583,27.9355
2018-11-19 18:13:00,71.2231,28.3018
2018-11-19 18:28:00,71.4162,28.0576
2018-11-19 18:43:00,71.5127,27.9355
2018-11-19 18:58:00,71.7058,27.6304
2018-11-19 19:13:00,71.5320,27.7524
2018-11-19 19:28:00,71.8216,27.6609
2018-11-19 19:43:00,71.8216,27.7524
2018-11-19 19:58:00,71.9181,27.7219
2018-11-19 20:13:00,71.8795,27.7830
2018-11-19 20:28:00,71.8988,27.6914
2018-11-19 20:43:00,71.8216,27.7524
2018-11-19 20:58:00,71.7251,27.7830
2018-11-19 21:13:00,71.6478,27.9050
2018-11-19 21:28:00,71.7830,27.7830
2018-11-19 21:43:00,71.3583,28.0576
2018-11-19 21:58:00,71.3583,27.9966
2018-11-19 22:13:00,71.2231,28.1187
2018-11-19 22:28:00,71.2424,28.1797
2018-11-19 22:43:00,71.2038,28.3933
2018-11-19 22:58:00,71.6092,28.1492
2018-11-19 23:13:00,71.3583,28.2712
2018-11-19 23:28:00,71.4548,28.1187
2018-11-19 23:43:00,71.4548,27.9966
2018-11-19 23:58:00,71.1652,28.2712
2018-11-20 00:13:00,70.7984,28.6069
2018-11-20 00:28:00,71.4162,27.9966
2018-11-20 00:43:00,71.4548,27.8440
2018-11-20 00:58:00,71.3196,27.9966
2018-11-20 01:13:00,71.1652,28.1492
2018-11-20 01:28:00,71.1266,28.2407
2018-11-20 01:43:00,71.1266,28.1187
2018-11-20 01:58:00,71.3583,27.6914
2018-11-20 02:13:00,71.3583,27.5999
2018-11-20 02:28:00,71.5127,27.5388
2018-11-20 02:43:00,71.4162,27.5693
2018-11-20 02:58:00,71.2617,27.7219
2018-11-20 03:13:00,71.2231,27.7219
2018-11-20 03:28:00,71.0880,27.9966
2018-11-20 03:43:00,71.3583,27.9661
2018-11-20 03:58:00,71.3583,28.1187
2018-11-20 04:13:00,71.2617,28.3323
2018-11-20 04:28:00,71.5513,28.3018
2018-11-20 04:43:00,71.4355,28.3933
2018-11-20 04:58:00,71.6092,28.4543
2018-11-20 05:13:00,71.3776,28.5154
2018-11-20 05:28:00,71.2617,29.0037
2018-11-20 05:43:00,71.3969,28.8511
2018-11-20 05:58:00,71.0494,29.3699
2018-11-20 06:13:00,71.7637,28.7900
2018-11-20 06:28:00,71.5127,29.0037
2018-11-20 06:43:00,71.3583,29.1562
2018-11-20 06:58:00,71.8023,28.6985
2018-11-20 07:13:00,71.4355,28.7290
2018-11-20 07:28:00,71.6285,28.3323
2018-11-20 07:43:00,71.6285,27.9050
2018-11-20 07:58:00,71.5127,27.8135
2018-11-20 08:13:00,71.4934,27.8440
2018-11-20 08:28:00,71.7444,27.9050
2018-11-20 08:43:00,71.7444,27.9966
2018-11-20 08:58:00,71.7830,28.3323
2018-11-20 09:13:00,71.6671,28.4543
2018-11-20 09:28:00,71.3196,28.5459
2018-11-20 09:43:00,71.1845,28.6985
2018-11-20 09:58:00,71.5127,28.4543
2018-11-20 10:13:00,71.3583,28.5459
2018-11-20 10:28:00,71.3196,28.7900
2018-11-20 10:43:00,71.4548,28.7595
2018-11-20 10:58:00,71.5127,29.2173
2018-11-20 11:13:00,71.7444,29.7666
2018-11-20 11:28:00,72.0339,29.8276
2018-11-20 11:43:00,71.5513,30.1328
2018-11-20 11:58:00,71.7058,29.8887
2018-11-20 12:13:00,71.7444,29.7971
2018-11-20 12:28:00,71.7444,30.1328
2018-11-20 12:43:00,71.9181,29.9497
2018-11-20 12:58:00,72.3428,29.6750
2018-11-20 13:13:00,71.8795,29.8276
2018-11-20 13:28:00,72.0532,29.5835
2018-11-20 13:43:00,72.2849,29.2478
2018-11-20 13:58:00,71.9181,29.2173
2018-11-20 14:13:00,71.6285,28.4238
2018-11-20 14:28:00,71.7444,27.4473
2018-11-20 14:43:00,71.3003,27.8135
2018-11-20 14:58:00,71.1266,27.7219
2018-11-20 15:13:00,71.4162,26.9895
2018-11-20 15:28:00,71.5513,26.5623
